coluna;descricao;n;media;mediana;moda;desvio_padrao;variancia;coef_variacao_%;minimo;Q1;Q2;Q3;maximo;IQR;outliers;assimetria;curtose;KS_D;KS_p_valor;normalidade
CRIM;Taxa de criminalidade per capita por cidade;486;3,6118739711934156;0,253715;0.01501, 14.33;8,7201918501516;76,04174590345039;241,43123264265841;0,00632;0,0819;0,253715;3,5602625000000003;88,9762;3,4783625000000002;65;5,2128426499800975;36,56834837851298;0,3396304664955013;1,579477863597357e-50;Rejeita H0 → distribuição NÃO normal
ZN;Proporção de terrenos residenciais com lotes > 25.000 pés²;486;11,2119341563786;0,0;0;23,388876146265478;547,0395273853463;208,60697021627863;0,0;0,0;0,0;12,5;100,0;12,5;63;2,2566126051408197;4,132614188636747;0,4249031556155739;3,9884841438671215e-80;Rejeita H0 → distribuição NÃO normal
INDUS;Proporção de acres de negócios não varejistas por cidade;486;11,083991769547325;9,69;18.1;6,83589649864144;46,7294809401383;61,673597750430496;0,46;5,19;9,69;18,1;27,74;12,91;0;0,30372218758107833;-1,2179909148782553;0,21800656447817646;9,252213820649449e-21;Rejeita H0 → distribuição NÃO normal
NOX;Concentração de óxidos nítricos;506;0,5546950592885376;0,538;0.538;0,11587767566755595;0,013427635718115288;20,890338525131785;0,385;0,449;0,538;0,624;0,871;0,175;0;0,7293079225348787;-0,06466713336542629;0,10552438333720415;2,3242525676841007e-05;Rejeita H0 → distribuição NÃO normal
RM;Número médio de cômodos por residência;506;6,284634387351779;6,2085;5.713, 6.127, 6.167 (+3);0,7026171434153233;0,49367085022110907;11,179920741760005;3,561;5,8854999999999995;6,2085;6,6235;8,78;0,7380000000000004;30;0,40361213328874385;1,8915003664993404;0,08192106668316346;0,002111544733332488;Rejeita H0 → distribuição NÃO normal
AGE;Proporção de imóveis ocupados pelo dono construídos antes de 1940;486;68,51851851851852;76,80000000000001;100;27,99951300509237;783,9727285223368;40,86415411554022;2,9;45,175;76,80000000000001;93,975;100,0;48,8;0;-0,5824700575056603;-0,9821403244959988;0,1439075311541438;3,0222213928121892e-09;Rejeita H0 → distribuição NÃO normal
DIS;Distância ponderada a 5 centros de emprego de Boston;506;3,795042687747036;3,2074499999999997;3.495;2,105710126627611;4,434015137382068;55,485808721632225;1,1296;2,100175;3,2074499999999997;5,1884250000000005;12,1265;3,0882500000000004;5;1,0117805793009007;0,4879411222443908;0,13230506189505215;3,486049121482753e-08;Rejeita H0 → distribuição NÃO normal
RAD;Índice de acessibilidade a rodovias radiais;506;9,549407114624506;5,0;24;8,707259384239366;75,81636598442452;91,18115166442713;1,0;4,0;5,0;24,0;24,0;20,0;0;1,0048146482182057;-0,8672319936034931;0,3163329226565177;1,6333405316184478e-45;Rejeita H0 → distribuição NÃO normal
TAX;Taxa de imposto predial por US$ 10.000;506;408,2371541501976;330,0;666;168,53711605495903;28404,75948812273;41,28411986552093;187,0;279,0;330,0;666,0;711,0;387,0;0;0,669955941795016;-1,1424079924768082;0,20766993462807004;1,2828697379768357e-19;Rejeita H0 → distribuição NÃO normal
PTRATIO;Razão alunos/professor por cidade;506;18,455533596837945;19,05;20.2;2,1649455237144406;4,686989120651194;11,730603790753406;12,6;17,4;19,05;20,2;22,0;2,8000000000000007;15;-0,8023249268537809;-0,28509138330538875;0,17716646969132166;2,3032517826392527e-14;Rejeita H0 → distribuição NÃO normal
B;1000·(Bk − 0,63)², Bk = proporção de população negra por cidade;506;356,6740316205534;391,44;396.9;91,29486438415783;8334,75226292177;25,596162403345808;0,32;375,3775;391,44;396,225;396,9;20,847500000000025;77;-2,8903737121414492;7,226817549260753;0,3455382518405976;1,8081700413510033e-54;Rejeita H0 → distribuição NÃO normal
LSTAT;% da população de baixa renda;486;12,715432098765431;11,43;6.36, 7.79, 8.05 (+2);7,155870815805251;51,206487132493315;56,27705578719602;1,73;7,125;11,43;16,955000000000002;37,97;9,830000000000002;7;0,908891836957814;0,5186825176170209;0,08796754753419861;0,001011036977075648;Rejeita H0 → distribuição NÃO normal
MEDV;Valor mediano dos imóveis ocupados pelo dono;506;22,532806324110677;21,2;50;9,197104087379818;84,58672359409856;40,81650529938067;5,0;17,025;21,2;25,0;50,0;7,975000000000001;40;1,1080984082549072;1,495196944165818;0,14919120644995554;2,6939524960957153e-10;Rejeita H0 → distribuição NÃO normal
